country,year,income_group,dtm_stage,etm_stage,score_inequality,score_health,score_demographics,score_economic,composite_score,recommendation_tier,policy_1,policy_2,policy_3,policy_bundle
SAU,2023,Lower Middle Income,3,5,54.99,90.04,95.53,76.39,79.24,Tier 1 - Sustain & Lead,Redirect fiscal space from population growth management to ageing preparedness.,Strengthen non-communicable disease programmes (NCDs are the primary burden).,Invest in innovation and R&D for sustained economic competitiveness.,Redirect fiscal space from population growth management to ageing preparedness. | Strengthen non-communicable disease programmes (NCDs are the primary burden). | Invest in innovation and R&D for sustained economic competitiveness.
AUS,2023,Upper Middle Income,4,5,41.07,97.51,60.72,85.67,71.24,Tier 1 - Sustain & Lead,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
FRA,2023,Upper Middle Income,4,5,51.44,97.02,38.11,84.2,67.69,Tier 1 - Sustain & Lead,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
CAN,2023,High Income,4,5,43.8,94.99,57.08,71.0,66.72,Tier 1 - Sustain & Lead,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
GBR,2023,Upper Middle Income,4,5,72.8,93.95,42.26,55.94,66.24,Tier 1 - Sustain & Lead,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
DEU,2023,High Income,3,5,35.76,93.43,22.49,100.0,62.92,Tier 2 - Optimise,Redirect fiscal space from population growth management to ageing preparedness.,Strengthen non-communicable disease programmes (NCDs are the primary burden).,Invest in innovation and R&D for sustained economic competitiveness.,Redirect fiscal space from population growth management to ageing preparedness. | Strengthen non-communicable disease programmes (NCDs are the primary burden). | Invest in innovation and R&D for sustained economic competitiveness.
JPN,2023,High Income,3,5,60.56,98.84,15.17,70.19,61.19,Tier 2 - Optimise,Redirect fiscal space from population growth management to ageing preparedness.,Strengthen non-communicable disease programmes (NCDs are the primary burden).,Invest in innovation and R&D for sustained economic competitiveness.,Redirect fiscal space from population growth management to ageing preparedness. | Strengthen non-communicable disease programmes (NCDs are the primary burden). | Invest in innovation and R&D for sustained economic competitiveness.
USA,2023,Lower Middle Income,4,5,18.44,89.32,41.38,94.86,61.0,Tier 2 - Optimise,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
BRA,2023,Low Income,4,5,52.05,83.3,49.35,39.71,56.1,Tier 2 - Optimise,Prioritise pension and elderly-care systems given advanced demographic stage.,Monitor and manage inequality as economic maturity can widen income gaps.,Lead on climate-aligned trade and sustainable development policies.,Prioritise pension and elderly-care systems given advanced demographic stage. | Monitor and manage inequality as economic maturity can widen income gaps. | Lead on climate-aligned trade and sustainable development policies.
MEX,2023,Upper Middle Income,3,5,33.5,82.42,57.24,48.44,55.4,Tier 2 - Optimise,Redirect fiscal space from population growth management to ageing preparedness.,Strengthen non-communicable disease programmes (NCDs are the primary burden).,Invest in innovation and R&D for sustained economic competitiveness.,Redirect fiscal space from population growth management to ageing preparedness. | Strengthen non-communicable disease programmes (NCDs are the primary burden). | Invest in innovation and R&D for sustained economic competitiveness.
